date,title
2023-06-05 15:07:01,"네이버, 쇼핑라이브로 SME ‘지원사격’…상생 효과 ‘뚜렷’"
2023-06-06 09:01:25,서울시 경보문자보다 네이버 장애가 더 떨렸다[사이다IT]
2023-06-06 07:41:01,"네이버 쇼핑라이브, '상생라이브' 지원 확대"
2023-06-05 15:25:01,'진격의 구글' 카톡·네이버 '휘청'…구글 국내서도 플랫폼 1위 하나
2023-06-05 17:46:08,"[단독] 네이버, 日검색시장 디딤돌 삼아 … 한국형 챗GPT 글로벌 공략"
2023-06-05 14:46:58,"""나 떨고 있니?"" 카카오톡, 네이버 제친 유튜브에 추월 위기"
2023-06-05 18:34:01,"네이버·KT, 정부 ‘초거대 AI 생태계 구축’ 사업 공급자 됐다"
2023-06-05 16:58:01,"네이버·카카오 ""종이→전자문서로 디지털 친환경 앞장서""(종합)"
2023-06-05 18:04:01,"'사우디 손 잡은' 네이버, 국가 ICT 수출 앞장선다"
2023-06-06 09:03:19,"[깊이보기] 구글·네이버·MS, 한국 AI 검색시장 '삼국지' 승자는?"
2023-06-05 17:56:01,"네이버 투자 리콘랩스, 아기유니콘 선정"
2023-06-05 17:11:03,“이젠 검색도 구글로 합니다”…네이버 주주들의 한숨이 깊어진다 [투자360]
2023-06-06 14:03:01,절대강자는 옛말?…구글 맹추격에 카카오톡·네이버 입지 흔들
2023-06-06 10:01:04,[IT돋보기] AI주권 외치는 네이버클라우드의 초거대AI 차별점은 '이것'
2023-06-06 06:01:30,"""내 작품 도둑질 그만""…네이버웹툰서 'AI웹툰 보이콧' 운동 쇄도"
2023-06-06 12:28:07,"진격하는 빅테크...유튜브, 첫 사용자 1위 눈앞, 흔들리는 카톡·네이버는 규제·논란에 이중고"
2023-06-05 17:39:02,"중국 알리바바는 빼고, 토종 네이버 카카오만?..공정위 역차별 규제 논란"
2023-06-06 13:48:01,“글로벌 ESG 평가서 韓기업 90%는 중하위…톱은 SK와 네이버 뿐”
2023-06-05 17:23:01,"김장겸 전 MBC 사장 ""네이버, 토종기업 살려야 한다며 소나기만 피하려고 하고 있어"""
2023-06-05 17:26:01,"[차이나 리스크] 中 네이버 접속, 2주째 불안정…IT업계 ‘예의주시’"
2023-06-05 20:16:03,"유튜브, 카톡·네이버 '맹추격'…사용자 1위 넘봐"
2023-06-06 12:01:03,정부 전용 초거대 AI로 공공서비스 혁신 시동
2023-06-06 13:02:05,"Z세대 80% ""年2번 이상 여행""…'SNS·유튜브'로 정보습득"
2023-06-06 13:01:03,日 오염수 방류 불안감에…국내서 '소금' 사재기 조짐까지
2023-06-06 06:01:38,엔터株 고공행진…군입대‧사생활 리스크 덜한 ‘엔터 ETF’ 사볼까
2023-06-06 14:05:01,日 함정 부산 입항에…또 논란된 '욱일기 게양'[타임라인]
2023-06-05 15:51:19,"주중대사관 ""개정 중국 방첩법, 교민·기업 활동에 영향 가능성"""
2023-06-05 16:26:01,"아이템베이, 환경의날 맞아 탄소중립 SNS 이벤트 마련"
2023-06-06 09:13:01,압구정 미성 28억·잠원동 신반포 24억[경매브리핑]
2023-06-05 20:50:01,"""이 웹툰 안 보겠다"" 첫 화 공개되자 보이콧한 독자들…왜?"
2023-06-05 23:02:01,[속보] 美 5월 서비스 PMI 50.3…예상 하회
2023-06-05 18:09:02,"유튜브 공세가 매섭다…카톡, 지금 속도라면 하반기 추월당해"
2023-06-05 18:00:00,[연합뉴스 이 시각 헤드라인] - 18:00
2023-06-05 17:46:03,美빅테크 거센 공세 … 카톡 사용자수마저 유튜브에 잡힐판
None,None
2023-06-06 07:33:03,"렛츠런파크 부경, '어린이 플리마켓' 셀러 모집"
2023-06-06 07:19:01,'사이다'·'후회남주'…웹툰 홍수 속 나침반 역할하는 키워드
2023-06-06 14:13:34,"""식사 하셨어요?"" 반가운 전화…독거노인 달랜 말벗의 정체"
2023-06-05 18:16:01,"천정 뚫고 치솟는 항공권값…""앞으로도 더 오른다"""
2023-06-06 13:43:05,강릉단오제 굿즈 상품 ‘오브젝트 단오’ 전시
2023-06-05 15:12:01,"스테디셀러의 변신…오뚜기, '참깨라면 볶음면' 출시"
2023-06-05 15:00:08,"카드사들, '대환대출'에 소극적인 이유는"
2023-06-06 06:20:00,"""AI로 그린 게 웹툰?""…AI 콘텐츠 제도화 속도 낼까"
2023-06-05 17:37:06,반년 넘은 쿠팡·CJ 갈등…소비자 불만 고조
2023-06-05 15:29:01,"""RPA는 이제 시작, AI 접목해 전성기 맞겠다"""
2023-06-05 16:58:08,"""빅테크 공세에"" 네카오 '국민 서비스' 타이틀 무색해지나 [1일IT템]"
2023-06-06 14:10:10,강원도 춘천에 800가구 신규 아파트단지 들어선다
