date,title
2023-06-05 17:20:06,"굳갱랩스, NFT 프로젝트 '비어갱' 밋업 성료"
2023-06-05 19:14:01,"""대학생, 여행 계획 세울때 인스타·포털 검색"""
2023-06-06 13:42:43,6년 만에 부활한 캡사이신 분사기...집회·시위 강경 대응 어디까지? [최종의견]
2023-06-06 08:00:00,"[알림] 최신 AI 서비스와 클라우드, 한 자리에서 만납니다"
2023-06-05 16:58:00,"[콘텐츠 핫&amp;뉴] 디플러스 기아, 발로란트 챌린저스 코리아 우승"
2023-06-06 09:04:02,"‘웹툰 AI’ 엇갈리는 시선… “도우미 역할 긍정적”, 저작권 합의 필요"
2023-06-05 18:47:20,"경동대, 강원도 내 중고등학생 진로선택 지원"
2023-06-06 13:37:01,박지원 “尹 때문에 출마할 결심..목포나 고향 진도 출마 요청 많아”[여의도초대석]
2023-06-06 10:48:01,"""작가도 독자도 반대하는 AI 웹툰, 돈 버는 건 누구?"""
2023-06-05 19:02:01,"박지원 ""尹, 대법관 임명도 거부권?..삼권분립 부정, 반헌법적 발상""[여의도초대석]"
2023-06-06 09:01:01,"와플보드, 구글 애드센스 및 쿠팡 파트너스 연동으로 커뮤니티 사이트 수익 창출"
2023-06-06 06:00:05,‘동반성장’ 꿈꾸는 네카오...소상공인 교육 늘린다
2023-06-05 18:21:39,카톡도 유튜브도 떠나는 모바일앱 사용자 막지 못했다
2023-06-06 10:50:01,[人사이트]오현오 가우디오랩 대표 “생성 AI로 세상 모든 소리 만든다”
2023-06-06 07:03:00,"매경이 전하는 세상의 지식 (매-세-지, 6월 6일)"
2023-06-06 13:41:01,‘시원한 태백’ 영상공모전 개최
2023-06-06 06:03:00,기업 '지배구조 핵심지표' 준수율 62%…SK텔레콤은 100% 준수
2023-06-06 06:21:01,"“애플, 기대 못미친 MR 헤드셋”…“美 서비스 둔화에 침체우려 고개” [김영필의 3분 월스트리트]"
2023-06-06 12:14:01,[차이나 리스크] 한중관계 악화일로 반복에 판호 받은 게임사들 ‘한숨만’
2023-06-05 18:39:01,'1000억 잭팟' 女대표 등장에 술렁…백화점 러브콜 쏟아졌다
2023-06-05 15:56:01,"""제평위 해체하고, 법정기구로 포털뉴스위 만들자"""
2023-06-06 12:46:01,"산청엑스포조직위, 개막 100여 일 앞두고 엑스포 사전 붐 조성"
2023-06-06 07:21:02,"경기도, 인공지능 상담원 '노인말벗서비스' 19일부터 시행"
2023-06-05 16:03:01,온라인·원스톱 대출 갈아타기 금융사 한도 완화하고 은행권 아파트 주담대 인프라 구축 착수
2023-06-05 18:50:03,"한화투자증권, MZ 대상 친환경 캠페인"
2023-06-06 12:01:03,공공 초거대 AI 만든다…민관 협업 통해 생태계 조성
2023-06-06 08:02:03,"카톡, 유튜브와 5월 MAU 격차 역대 최소…“추세대로면 하반기에 추월당할 수도”"
2023-06-05 16:47:07,쿠팡 vs CJ제일제당 갈등 반년…소비자들만 불편 호소
2023-06-05 21:59:03,"네카오 웹툰 공모전 “AI 활용 불가, 인손인그 작품만 출품 가능”"
2023-06-06 14:25:01,“어르신~ 식사하셨어요?” AI 말벗 서비스 경기도서 시행
2023-06-06 13:31:05,민관 협업 통해 초거대 공공 AI 활용방안 모색한다
2023-06-06 12:00:00,"디지털플랫폼정부위, 초거대 공공AI TF 구성…""행정 현안 해결"""
2023-06-06 07:10:00,플랫폼 독과점 규제 기초 다지는 공정위…최신 경쟁이론 연구
2023-06-06 08:01:09,"KT, 사외이사 후보 7인 공개 D-2…'3대 1' 경쟁 누가 낙점되나?"
2023-06-06 08:54:01,상장사 지배구조 지표 준수율 SKT만 100%…가장 모범적
2023-06-06 12:02:18,"디지털플랫폼정부위원회, 초거대 공공 AI TF 1차 회의 개최"
2023-06-05 17:08:02,"금융업계, '세계 환경의 날' 맞이 캠페인 활발"
2023.06.05. 오후 3:48,"
			‘이생잘’ 신혜선, 안보현에 직진
		"
2023-06-06 10:01:15,제4이통사는 금융권?…KB국민은행·토스도 후보
2023-06-06 11:01:04,오발령 경계경보 논란으로 더 관심 커진 '대피소' 위치
2023-06-06 05:41:01,“이름값 하려나” 456만원짜리 헤드셋...메타버스 판 흔들 무기 꺼낸 애플 [미라클 레터]
2023-06-05 20:12:50,"""성과급 기본급의 1000%""는 옛말…확 늘어난 '수·양·마 복귀'"
2023.06.05. 오후 10:28,"
			'이번 생도 잘 부탁해' 신혜선, 안보현에 저돌적 고백
		"
2023-06-06 00:44:01,영혼까지 션하네! 이 여름 심신 식혀줄 홍천의 청정계곡
2023-06-05 15:53:08,후쿠시마 오염수 논란에 대한 우리 언론의 보도 양태
2023.06.06. 오전 11:25,"
			이보영x김유미, '마인' 감독 신작 '이번 생도 잘 부탁해' 특별출연
		"
2023-06-05 15:03:15,"공정위, '플랫폼 규제' 다시 법으로?…이달 내 논의 결과 발표"
2023-06-05 16:58:01,[차이나 리스크] 가시적 사건 없지만...크로스보더 커머스  ‘조마조마’
2023-06-06 00:13:01,[한경에세이] 챗GPT는 집단지성인가?
2023.06.06. 오전 8:46,"
			‘이번 생도’ 측 “기품있는 비주얼과 아우라 이보영 김유미 뿐”
		"
2023-06-05 18:06:01,"위믹스 투자자 700명, 위정현 게임학회장 검찰 고발"
2023-06-05 16:34:05,"대전시, 대전 홍보대사 및 일류도시 대전 제 9기 명예기자단 위촉"
2023-06-06 10:14:55,"히가시노 게이고 ‘외사랑’, 윌라 오디오북 5월 베스트셀러 1위"
2023-06-05 18:38:03,"상품 기획부터 개발까지 꽉 잡은 SNS 스타…""이들이 곧 트렌드"""
2023-06-06 13:52:01,"디지털플랫폼정부위원회, 공공 초거대 AI 논의 본격화…TF 1차 회의 개최"
2023-06-05 17:35:01,산과 바다가 이렇게 조화롭게 어우러지다니요
2023-06-06 14:10:08,"""온라인 플랫폼 규제지침 현실에 맞게""...공정위, 경쟁저해이론 기틀 마련한다"
2023.06.05. 오후 3:46,"
			신혜선, 19회차 환생도 안보현에 직진…""저랑 사귀어보실래요?"" (이생잘)
		"
2023-06-06 00:09:34,“나 대기업으로 돌아갈래” 판교 뜨는 ‘연어’ 개발자들 는다
2023-06-05 15:57:02,"주중대사관 “개정 중국 방첩법, 교민·기업 활동에 영향 가능성”"
2023-06-06 14:30:01,"위믹스 투자자 700여명, 위정현 학회장 검찰 고발"
2023-06-05 15:57:18,[알립니다]인류의 확장:AI·우주·로봇…'Nfif 2023'서 만나보세요
2023-06-06 10:45:01,전금법 개정안 통과 임박…선불업자 ‘무제한 할인’ 제동
2023-06-06 14:01:01,"참, 전기차였지? 편안한 승차감·세련미 갖춘 도심용 소형 SUV [CarTalk]"
2023.06.05. 오후 3:26,"
			'이생잘' 신혜선, 안보현과 애틋한 재회 ""이번 생은 너를 만나기 위해 다시 태어났어”
		"
2023-06-05 18:29:01,"인천 남청라 물류센터 성공적 '딜클로징'…디앤디, 1170억에 품는다"
2023-06-05 17:37:04,"박지원 ""호남, 尹에 절망·민주 실망·그래도 이재명..그게 곧 전국 여론""[여의도초대석]"
2023-06-06 11:29:01,개발자에게도 감성 있다…1500건 몰린 코딩문학제
2023-06-05 16:02:01,"[시황] 코스피, ‘기관 사자’ 연중 최고치 경신…2615.41 마감"
2023-06-05 16:32:55,"투비소프트, 편의성 높이고 더 간소화한 출입관리 시스템 'V-PASS' 선봬"
2023-06-06 04:31:39,"기이한 행복 인형극 ""오늘도 평범한 하루가 될 거야"" [진달래의 '웹툰' 봄]"
2023-06-06 09:10:01,"""본업 웃는데 신사업이 말썽"" 한글과컴퓨터의 딜레마 [컴퍼니+]"
