"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019년 12월 21일","7,156.2","7,196.4","7,197.6","7,129.6","468.74K","-0.56%"
"2019년 12월 20일","7,196.4","7,165.5","7,218.4","7,107.7","627.04K","0.43%"
"2019년 12월 19일","7,165.5","7,276.4","7,354.0","7,039.3","778.72K","-1.52%"
"2019년 12월 18일","7,276.0","6,613.5","7,387.7","6,462.2","1.14M","10.02%"
"2019년 12월 17일","6,613.3","6,903.5","6,943.5","6,575.0","894.55K","-4.20%"
"2019년 12월 16일","6,903.5","7,128.5","7,153.1","6,864.6","689.56K","-3.16%"
"2019년 12월 15일","7,128.5","7,080.8","7,175.8","7,033.8","492.58K","0.67%"
"2019년 12월 14일","7,080.8","7,255.2","7,267.4","7,043.3","524.56K","-2.40%"
"2019년 12월 13일","7,255.2","7,208.4","7,288.0","7,200.3","503.49K","0.65%"
"2019년 12월 12일","7,208.0","7,208.0","7,272.4","7,124.6","611.80K","0.00%"
"2019년 12월 11일","7,208.0","7,235.8","7,284.4","7,168.8","518.40K","-0.38%"
"2019년 12월 10일","7,235.7","7,356.2","7,400.3","7,192.1","609.50K","-1.63%"
"2019년 12월 09일","7,355.8","7,524.8","7,626.0","7,321.6","648.66K","-2.24%"
"2019년 12월 08일","7,524.4","7,510.8","7,576.4","7,416.7","499.04K","0.18%"
"2019년 12월 07일","7,510.9","7,530.4","7,595.7","7,489.6","557.14K","-0.26%"
"2019년 12월 06일","7,530.8","7,399.2","7,552.1","7,329.8","706.10K","1.78%"
"2019년 12월 05일","7,399.2","7,204.6","7,476.3","7,184.0","780.78K","2.70%"
"2019년 12월 04일","7,204.4","7,291.9","7,702.2","7,113.6","971.75K","-1.20%"
"2019년 12월 03일","7,291.8","7,298.1","7,389.4","7,227.1","548.77K","-0.09%"
"2019년 12월 02일","7,298.2","7,395.9","7,433.8","7,173.6","687.78K","-1.33%"
"2019년 12월 01일","7,396.4","7,546.5","7,546.5","7,244.4","777.00K","-1.99%"
"2019년 11월 30일","7,546.6","7,742.7","7,787.7","7,472.7","650.60K","-2.53%"
"2019년 11월 29일","7,742.7","7,426.6","7,825.3","7,412.3","766.71K","4.26%"
"2019년 11월 28일","7,426.7","7,510.6","7,639.5","7,380.6","737.58K","-1.12%"
"2019년 11월 27일","7,510.6","7,162.8","7,636.9","6,875.4","996.49K","4.86%"
"2019년 11월 26일","7,162.8","7,115.5","7,329.5","7,045.1","844.27K","0.66%"
"2019년 11월 25일","7,115.6","6,924.7","7,352.8","6,534.8","1.29M","2.76%"
"2019년 11월 24일","6,924.7","7,325.0","7,344.1","6,894.9","904.50K","-5.45%"
"2019년 11월 23일","7,324.1","7,271.6","7,342.5","7,093.7","783.18K","0.71%"
"2019년 11월 22일","7,272.5","7,627.9","7,700.9","6,818.5","1.41M","-4.66%"
"2019년 11월 21일","7,627.9","8,099.4","8,129.6","7,519.7","891.50K","-5.82%"
"2019년 11월 20일","8,099.3","8,145.7","8,223.0","8,074.2","607.27K","-0.57%"
"2019년 11월 19일","8,145.7","8,207.7","8,245.6","8,032.8","654.27K","-0.76%"
"2019년 11월 18일","8,208.4","8,510.3","8,516.3","8,110.4","692.60K","-3.54%"
"2019년 11월 17일","8,509.8","8,497.4","8,631.7","8,413.0","531.22K","0.15%"
"2019년 11월 16일","8,497.3","8,476.2","8,532.8","8,450.7","471.16K","0.25%"
"2019년 11월 15일","8,476.3","8,660.8","8,761.8","8,437.1","653.71K","-2.13%"
"2019년 11월 14일","8,661.2","8,782.9","8,799.8","8,615.8","515.43K","-1.39%"
"2019년 11월 13일","8,783.1","8,813.2","8,829.7","8,721.1","454.33K","-0.33%"
"2019년 11월 12일","8,812.6","8,737.4","8,841.2","8,615.7","575.16K","0.87%"
"2019년 11월 11일","8,736.9","9,036.9","9,066.4","8,649.4","601.16K","-3.32%"
"2019년 11월 10일","9,036.8","8,804.7","9,092.9","8,763.5","581.57K","2.64%"
"2019년 11월 09일","8,804.5","8,778.1","8,877.5","8,746.9","512.02K","0.30%"
"2019년 11월 08일","8,778.2","9,223.6","9,254.8","8,722.4","791.79K","-4.83%"
"2019년 11월 07일","9,223.5","9,339.2","9,367.0","9,130.0","603.54K","-1.24%"
"2019년 11월 06일","9,338.9","9,311.2","9,424.6","9,262.7","578.03K","0.30%"
"2019년 11월 05일","9,310.8","9,396.1","9,452.7","9,193.9","653.42K","-0.91%"
"2019년 11월 04일","9,396.4","9,198.7","9,500.4","9,134.1","681.01K","2.15%"
"2019년 11월 03일","9,198.3","9,300.5","9,359.1","9,095.0","536.56K","-1.10%"
"2019년 11월 02일","9,300.6","9,230.3","9,356.7","9,201.2","570.74K","0.76%"
"2019년 11월 01일","9,230.1","9,153.1","9,270.4","9,057.2","689.65K","0.85%"
"2019년 10월 31일","9,152.6","9,157.9","9,378.9","8,959.6","798.93K","-0.06%"
"2019년 10월 30일","9,157.9","9,411.3","9,411.3","9,018.4","789.73K","-2.69%"
"2019년 10월 29일","9,411.3","9,206.5","9,531.3","9,125.3","918.48K","2.22%"
"2019년 10월 28일","9,207.2","9,530.1","9,866.9","9,202.5","1.04M","-3.38%"
"2019년 10월 27일","9,529.6","9,230.6","9,773.2","9,081.0","1.16M","3.24%"
"2019년 10월 26일","9,230.6","8,658.4","10,540.0","8,061.8","1.78M","6.61%"
"2019년 10월 25일","8,658.3","7,422.8","8,697.7","7,404.9","1.18M","16.65%"
"2019년 10월 24일","7,422.7","7,476.8","7,501.5","7,366.3","586.49K","-0.73%"
"2019년 10월 23일","7,477.0","8,031.0","8,055.0","7,329.2","892.08K","-6.90%"
"2019년 10월 22일","8,031.4","8,207.4","8,289.1","8,017.7","570.39K","-2.15%"
"2019년 10월 21일","8,208.2","8,224.1","8,315.3","8,155.7","489.40K","-0.18%"
"2019년 10월 20일","8,223.4","7,957.4","8,288.5","7,889.6","513.91K","3.34%"
"2019년 10월 19일","7,957.3","7,948.3","8,060.2","7,892.4","428.83K","0.11%"
"2019년 10월 18일","7,948.5","8,073.3","8,116.4","7,842.0","505.79K","-1.55%"
