"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019년 10월 17일","8,073.3","8,000.4","8,118.2","7,944.4","444.95K","0.91%"
"2019년 10월 16일","8,000.4","8,167.1","8,185.9","7,929.8","538.92K","-2.04%"
"2019년 10월 15일","8,167.2","8,353.4","8,400.2","8,139.5","469.73K","-2.23%"
"2019년 10월 14일","8,353.3","8,281.3","8,374.3","8,222.2","505.02K","0.87%"
"2019년 10월 13일","8,281.5","8,304.3","8,450.2","8,190.6","419.87K","-0.28%"
"2019년 10월 12일","8,304.4","8,267.6","8,394.8","8,260.9","424.02K","0.44%"
"2019년 10월 11일","8,267.8","8,562.2","8,751.1","8,249.7","667.86K","-3.44%"
"2019년 10월 10일","8,562.3","8,566.8","8,638.5","8,438.7","511.46K","-0.05%"
"2019년 10월 09일","8,566.7","8,180.1","8,655.9","8,122.7","636.43K","4.69%"
"2019년 10월 08일","8,182.9","8,198.5","8,323.1","8,118.1","469.04K","-0.19%"
"2019년 10월 07일","8,198.6","7,882.6","8,293.5","7,797.0","604.74K","4.02%"
"2019년 10월 06일","7,881.9","8,127.3","8,145.5","7,834.9","448.80K","-3.02%"
"2019년 10월 05일","8,127.3","8,148.0","8,185.1","8,030.6","360.92K","-0.25%"
"2019년 10월 04일","8,148.1","8,227.6","8,233.6","8,041.4","416.92K","-0.96%"
"2019년 10월 03일","8,226.9","8,363.6","8,391.7","8,090.1","460.97K","-1.64%"
"2019년 10월 02일","8,364.1","8,302.7","8,374.0","8,167.7","405.86K","0.74%"
"2019년 10월 01일","8,302.7","8,285.0","8,486.2","8,187.9","533.95K","0.22%"
"2019년 09월 30일","8,284.3","8,048.9","8,318.5","7,749.0","600.26K","2.92%"
"2019년 09월 29일","8,049.1","8,208.0","8,226.8","7,922.1","418.48K","-1.94%"
"2019년 09월 28일","8,208.5","8,184.5","8,297.2","8,031.1","457.79K","0.29%"
"2019년 09월 27일","8,184.9","8,063.8","8,257.4","7,882.1","561.40K","1.50%"
"2019년 09월 26일","8,063.8","8,432.5","8,463.1","7,773.6","731.03K","-4.37%"
"2019년 09월 25일","8,432.4","8,512.3","8,729.8","8,245.1","696.11K","-0.96%"
"2019년 09월 24일","8,513.9","9,702.7","9,793.8","8,069.4","933.16K","-12.25%"
"2019년 09월 23일","9,702.2","10,031.3","10,048.8","9,656.3","431.10K","-3.28%"
"2019년 09월 22일","10,031.6","9,993.0","10,075.0","9,870.9","337.06K","0.39%"
"2019년 09월 21일","9,993.0","10,172.8","10,177.9","9,939.8","326.17K","-1.77%"
"2019년 09월 20일","10,172.7","10,251.5","10,279.5","10,088.6","362.07K","-0.76%"
"2019년 09월 19일","10,250.5","10,164.6","10,297.6","9,707.6","542.25K","0.84%"
"2019년 09월 18일","10,164.7","10,195.7","10,257.5","10,119.3","318.82K","-0.30%"
"2019년 09월 17일","10,195.7","10,254.6","10,273.6","10,153.5","321.64K","-0.58%"
"2019년 09월 16일","10,255.5","10,311.3","10,360.5","10,108.5","372.53K","-0.54%"
"2019년 09월 15일","10,311.5","10,337.3","10,360.4","10,272.0","255.79K","-0.25%"
"2019년 09월 14일","10,337.3","10,342.2","10,421.4","10,253.7","326.44K","-0.05%"
"2019년 09월 13일","10,342.1","10,415.2","10,441.4","10,174.1","365.52K","-0.70%"
"2019년 09월 12일","10,415.1","10,162.4","10,447.9","10,051.0","413.22K","2.49%"
"2019년 09월 11일","10,162.5","10,104.9","10,257.5","9,908.9","413.06K","0.57%"
"2019년 09월 10일","10,105.4","10,308.7","10,379.8","9,970.7","383.22K","-1.98%"
"2019년 09월 09일","10,309.0","10,402.1","10,478.0","10,095.7","473.76K","-0.90%"
"2019년 09월 08일","10,402.8","10,461.6","10,578.0","10,266.3","339.73K","-0.56%"
"2019년 09월 07일","10,461.1","10,306.9","10,556.4","10,302.3","393.57K","1.47%"
"2019년 09월 06일","10,309.3","10,566.7","10,896.2","10,227.4","643.02K","-2.44%"
"2019년 09월 05일","10,566.9","10,567.8","10,630.7","10,469.9","402.09K","-0.01%"
"2019년 09월 04일","10,568.2","10,611.6","10,783.6","10,388.6","504.45K","-0.42%"
"2019년 09월 03일","10,612.3","10,348.1","10,756.8","10,283.5","578.79K","2.55%"
"2019년 09월 02일","10,348.8","9,728.8","10,431.5","9,720.3","542.79K","6.37%"
"2019년 09월 01일","9,729.3","9,594.7","9,799.5","9,533.6","322.66K","1.41%"
"2019년 08월 31일","9,594.4","9,585.5","9,677.5","9,457.3","311.49K","0.09%"
"2019년 08월 30일","9,585.4","9,494.1","9,675.7","9,370.2","413.92K","0.99%"
"2019년 08월 29일","9,491.0","9,729.1","9,729.1","9,343.0","509.13K","-2.45%"
"2019년 08월 28일","9,729.4","10,184.7","10,271.3","9,629.6","580.29K","-4.47%"
"2019년 08월 27일","10,184.8","10,372.2","10,387.6","10,060.2","419.81K","-1.80%"
"2019년 08월 26일","10,371.8","10,136.0","10,568.2","10,136.0","568.77K","2.32%"
"2019년 08월 25일","10,136.3","10,132.1","10,307.0","9,935.2","422.53K","0.05%"
"2019년 08월 24일","10,131.0","10,389.4","10,415.9","9,917.5","463.85K","-2.48%"
"2019년 08월 23일","10,388.7","10,104.9","10,434.3","9,921.4","436.26K","2.81%"
"2019년 08월 22일","10,105.0","10,141.1","10,218.2","9,777.0","520.75K","-0.36%"
"2019년 08월 21일","10,141.5","10,753.3","10,797.8","9,908.0","717.65K","-5.68%"
"2019년 08월 20일","10,752.6","10,911.2","10,941.6","10,581.0","515.47K","-1.45%"
"2019년 08월 19일","10,910.7","10,312.8","10,923.9","10,267.8","519.01K","5.80%"
"2019년 08월 18일","10,312.7","10,219.3","10,494.9","10,086.7","441.11K","0.93%"
"2019년 08월 17일","10,218.1","10,335.5","10,460.7","10,016.3","497.77K","-1.14%"
"2019년 08월 16일","10,335.6","10,300.9","10,734.0","9,788.6","798.67K","0.31%"
"2019년 08월 15일","10,303.4","10,053.3","10,448.2","9,580.1","930.05K","2.53%"
"2019년 08월 14일","10,049.4","10,894.2","10,894.5","9,965.5","745.59K","-7.74%"
"2019년 08월 13일","10,892.9","11,395.0","11,445.6","10,793.2","540.78K","-4.40%"
"2019년 08월 12일","11,394.2","11,505.1","11,508.6","11,267.3","391.08K","-1.07%"
"2019년 08월 11일","11,517.2","11,314.6","11,728.4","11,146.1","435.83K","1.79%"
"2019년 08월 10일","11,314.5","12,090.5","12,185.0","11,281.6","570.74K","-6.41%"
"2019년 08월 09일","12,089.8","12,190.0","12,225.3","11,885.0","558.72K","-0.84%"
"2019년 08월 08일","12,191.6","12,015.9","12,236.6","11,727.0","592.15K","1.48%"
"2019년 08월 07일","12,013.9","11,481.0","12,114.5","11,406.4","702.85K","4.64%"
"2019년 08월 06일","11,480.9","11,817.6","12,291.9","11,237.0","807.58K","-2.84%"
"2019년 08월 05일","11,816.8","10,934.8","11,922.3","10,934.8","769.63K","8.07%"
"2019년 08월 04일","10,934.6","10,816.1","11,017.7","10,568.8","585.71K","1.10%"
"2019년 08월 03일","10,815.7","10,519.9","10,893.6","10,504.5","508.75K","2.81%"
"2019년 08월 02일","10,520.1","10,380.5","10,664.8","10,330.5","578.29K","1.35%"
"2019년 08월 01일","10,380.0","10,081.9","10,459.0","9,890.6","608.37K","2.96%"
"2019년 07월 31일","10,082.0","9,580.3","10,100.0","9,562.4","589.84K","5.23%"
"2019년 07월 30일","9,580.7","9,580.0","9,703.0","9,483.0","511.51K","-0.00%"
"2019년 07월 29일","9,580.9","9,728.5","9,835.4","9,502.5","510.90K","-1.51%"
"2019년 07월 28일","9,727.8","9,491.1","9,798.5","9,401.1","518.59K","2.48%"
"2019년 07월 27일","9,492.1","9,830.4","10,232.3","9,389.1","661.89K","-3.45%"
"2019년 07월 26일","9,831.0","9,945.2","10,436.1","9,724.2","493.75K","-1.15%"
"2019년 07월 25일","9,945.3","9,804.7","10,203.5","9,776.6","545.85K","1.44%"
"2019년 07월 24일","9,804.3","9,887.2","9,945.3","9,584.0","639.54K","-0.85%"
"2019년 07월 23일","9,888.7","10,412.8","10,414.7","9,865.4","663.38K","-5.03%"
"2019년 07월 22일","10,412.5","10,715.1","10,806.3","10,196.5","591.27K","-2.82%"
"2019년 07월 21일","10,714.4","10,827.0","10,883.8","10,442.5","562.17K","-1.04%"
"2019년 07월 20일","10,826.7","10,571.9","11,155.6","10,462.0","668.94K","2.41%"
"2019년 07월 19일","10,571.5","10,651.6","10,758.4","10,160.7","727.79K","-0.75%"
"2019년 07월 18일","10,651.4","9,723.1","10,787.1","9,390.0","974.49K","9.55%"
"2019년 07월 17일","9,723.2","9,425.1","9,983.6","9,082.6","1.03M","3.17%"
"2019년 07월 16일","9,424.8","10,844.0","11,019.5","9,375.3","1.05M","-13.10%"
"2019년 07월 15일","10,845.9","10,199.9","11,064.7","9,885.4","956.52K","6.33%"
"2019년 07월 14일","10,200.1","11,364.3","11,448.7","10,128.9","840.76K","-10.25%"
"2019년 07월 13일","11,364.9","11,762.8","11,798.4","10,839.4","747.71K","-3.38%"
"2019년 07월 12일","11,762.1","11,343.7","11,881.4","11,109.8","738.17K","3.70%"
"2019년 07월 11일","11,342.3","12,111.6","12,111.6","11,029.0","943.13K","-6.34%"
"2019년 07월 10일","12,110.6","12,542.8","13,134.4","11,594.9","1.11M","-3.44%"
"2019년 07월 09일","12,541.5","12,250.6","12,772.9","12,111.2","847.84K","2.36%"
"2019년 07월 08일","12,252.6","11,415.8","12,332.3","11,304.8","695.60K","7.33%"
"2019년 07월 07일","11,415.9","11,267.9","11,524.6","11,108.1","601.93K","1.31%"
"2019년 07월 06일","11,268.0","10,969.8","11,650.2","10,967.9","688.96K","2.71%"
"2019년 07월 05일","10,970.2","11,159.7","11,381.8","10,810.3","772.67K","-1.73%"
"2019년 07월 04일","11,163.1","11,899.3","11,948.0","11,087.1","840.34K","-6.20%"
"2019년 07월 03일","11,900.8","10,835.9","11,931.8","10,835.9","998.73K","9.83%"
"2019년 07월 02일","10,835.9","10,615.5","10,923.5","9,728.5","1.12M","2.07%"
"2019년 07월 01일","10,616.6","10,821.4","11,254.5","10,041.6","1.04M","-1.87%"
"2019년 06월 30일","10,818.6","11,906.0","12,179.3","10,765.4","880.77K","-9.14%"
"2019년 06월 29일","11,906.5","12,408.0","12,422.9","11,490.8","834.62K","-4.05%"
"2019년 06월 28일","12,409.1","11,288.4","12,461.8","10,970.5","1.09M","9.93%"
"2019년 06월 27일","11,287.8","13,062.4","13,422.0","10,493.5","1.59M","-13.59%"
"2019년 06월 26일","13,063.8","11,811.6","13,929.8","11,747.3","1.48M","10.62%"
"2019년 06월 25일","11,809.9","11,046.6","11,833.9","11,033.7","781.09K","6.91%"
"2019년 06월 24일","11,046.4","10,897.3","11,114.4","10,622.6","566.96K","1.37%"
"2019년 06월 23일","10,897.1","10,721.5","11,361.3","10,557.8","683.79K","1.64%"
"2019년 06월 22일","10,721.7","10,178.1","11,160.5","10,031.3","1.09M","5.33%"
"2019년 06월 21일","10,179.3","9,517.7","10,184.3","9,517.4","769.12K","6.96%"
"2019년 06월 20일","9,517.0","9,255.0","9,583.9","9,188.4","693.62K","2.83%"
"2019년 06월 19일","9,255.4","9,080.7","9,295.1","9,044.0","587.57K","1.93%"
